UserID,Name,Age,Gender,City,AccountType,AccountBalance,CreditScore,LastTransactionDate,MonthlyIncome,LoanStatus,CustomerSince,NumTransactions,AvgTransactionValue,HasCreditCard,ActiveSubscriptions,DigitalWalletUsage,HasInvestmentAccount
86612,Teresa Hickman,52,Other,Lisaside,Fixed Deposit,72599.13,538,2024-05-27,6390.55,Yes,2013,406,642.98,Yes,4,High,No
87790,Herbert Ray,50,Other,Gainesborough,Business,22954.74,399,2024-04-09,8113.49,No,2012,333,361.41,Yes,3,High,No
98661,Cynthia Harris,39,Female,Priscillachester,Current,33052.67,759,2024-03-16,9579.06,Yes,2000,203,147.85,Yes,2,Low,No
93282,Tara Rodriguez,23,Male,Lake Anthonyview,Current,96882.75,322,2024-10-09,7086.73,No,2000,182,342.78,Yes,5,High,No
51862,Tony Hickman,71,Other,Douglasside,Fixed Deposit,57991.47,403,2024-01-30,3690.86,Yes,2002,395,210.14,No,0,High,Yes
45455,Daniel Sanchez,52,Female,Velezchester,Business,62572.45,697,2024-02-08,8000.27,No,2014,4,323.07,Yes,3,High,No
91281,Ashley Sanford,74,Female,Christyborough,Fixed Deposit,53802.89,452,2024-10-09,9095.31,Yes,2002,452,442.99,Yes,4,Low,Yes
84722,Justin Summers MD,27,Female,Bendertown,Business,50722.95,510,2024-01-31,1608.41,No,2005,288,640.43,Yes,2,High,Yes
28309,Karen Johnson,30,Female,South Kristin,Fixed Deposit,54010.55,702,2024-11-14,6978.56,No,2005,55,138.15,No,5,Low,No
25145,Cameron King,56,Male,Henryland,Business,28544.79,845,2024-07-19,4831.4,Yes,2001,499,565.18,Yes,5,High,No
52718,Kyle Bryant,18,Male,West Amberhaven,Current,85423.8,822,2024-04-08,9250.23,Yes,2007,374,473.05,No,5,Low,Yes
38482,Stacy Andrews,20,Other,Woodmouth,Current,94094.8,485,2024-06-19,5698.92,Yes,2021,402,146.13,No,4,High,Yes
48954,Cody Smith,49,Female,Shawburgh,Current,15886.55,708,2024-04-18,3017.45,No,2010,384,542.0,No,2,Low,No
14300,Megan Ayala,60,Female,Sanchezbury,Fixed Deposit,41026.3,454,2024-11-09,9494.13,No,2015,57,666.09,Yes,1,Low,No
43546,Joshua Baker,69,Male,North Timothytown,Current,2007.95,560,2024-06-08,8048.63,Yes,2013,31,365.83,No,4,High,No
70641,Willie Mcguire,39,Male,Tinaside,Business,71297.16,584,2024-04-15,2640.45,No,2021,276,778.59,No,3,Medium,No
42141,Elizabeth Smith,67,Other,New Jasonburgh,Savings,19739.13,799,2024-06-25,5510.62,Yes,2005,240,70.32,Yes,4,High,Yes
32157,Kevin Weber,63,Other,Kennethtown,Current,56978.18,406,2024-03-04,6526.25,No,2021,89,106.81,No,5,Low,No
59469,Eric Garcia,66,Female,West Blakeville,Business,11841.72,623,2024-07-30,3112.26,No,2009,108,869.16,No,1,Medium,Yes
61458,Juan Patel,63,Male,Langshire,Current,57525.96,435,2024-04-03,2698.75,No,2003,500,394.21,No,2,Medium,No
49113,Robert Daniel,22,Other,South Jennifer,Savings,57447.37,714,2024-05-23,8863.14,Yes,2019,176,671.96,Yes,0,Low,Yes
88829,Yvonne Lopez,27,Female,Jordanfort,Business,38503.28,470,2024-07-22,1806.22,Yes,2003,23,31.35,Yes,5,High,No
76584,Gina Walker,23,Female,Nicoleberg,Fixed Deposit,27006.39,495,2024-04-29,6434.76,No,2012,61,63.86,No,5,Low,No
67725,Kelly Lawrence,32,Female,Rodriguezshire,Business,1289.88,832,2024-07-17,6022.92,Yes,2002,191,563.93,No,0,Medium,No
91920,John Dyer,30,Male,Gregoryhaven,Current,42490.66,761,2024-04-10,4018.65,Yes,2012,212,218.83,No,0,Low,No
10675,Erin Hall,42,Other,Blakechester,Business,34885.22,674,2024-11-08,9253.51,No,2015,164,359.68,No,1,Medium,No
62792,Mrs. Susan Lewis,20,Other,Angelaton,Current,21406.25,773,2024-05-20,7255.4,Yes,2002,148,15.49,No,0,Low,No
64106,Leslie Gilbert,29,Female,Martinfurt,Fixed Deposit,52824.0,839,2024-04-27,6526.02,No,2009,464,607.24,Yes,3,High,No
51495,Andrew Tran,31,Other,West Crystalton,Savings,94581.34,319,2024-06-01,3025.88,No,2015,299,145.29,No,5,Medium,No
80317,Angelica Walker,26,Male,Port Sarah,Current,61697.28,739,2024-02-06,5382.26,No,2020,248,32.58,No,0,Medium,Yes
61420,Misty Wright,52,Other,West Willie,Savings,59932.36,610,2024-02-26,8749.09,No,2022,370,197.39,Yes,2,Low,No
39185,Stephanie Smith,67,Male,Patrickstad,Savings,16095.57,347,2024-08-15,1559.65,Yes,2002,43,202.7,No,3,Medium,No
92571,Jeffrey Doyle,68,Other,East David,Current,59823.88,416,2024-03-16,8096.01,Yes,2006,387,400.64,Yes,5,Medium,No
86260,Nathan Nicholson,59,Male,Holderton,Savings,16146.15,380,2024-10-11,8246.19,No,2023,6,199.21,No,2,High,Yes
27101,Derrick Duncan,56,Female,Lake Chad,Business,73103.85,619,2024-07-29,6836.26,Yes,2018,499,625.44,No,4,High,No
46188,Julie Boyer,70,Male,Jessicaburgh,Business,68820.66,302,2024-09-14,2147.0,No,2012,22,838.84,No,1,Low,Yes
65440,Richard Anderson,41,Male,Christopherview,Business,35839.64,671,2024-09-22,3378.81,Yes,2007,83,981.16,Yes,0,Medium,Yes
72781,Jeffrey Harper,75,Female,North Amyside,Current,55300.34,550,2024-07-14,9837.27,Yes,2007,146,258.77,Yes,3,High,Yes
57925,Ryan Santana,44,Male,North Nicholastown,Current,57974.97,432,2024-07-05,9929.54,Yes,2012,266,619.86,Yes,0,High,No
88627,William Nichols DDS,59,Male,Christinaburgh,Fixed Deposit,34710.56,382,2024-10-08,5822.7,Yes,2006,261,225.25,No,0,Medium,Yes
97510,Jason Lee,53,Female,Lewisfort,Business,20454.4,371,2024-01-29,6098.04,Yes,2005,169,690.04,Yes,2,Medium,Yes
24457,Aaron Benitez,33,Female,South Randallmouth,Current,73670.39,543,2024-07-29,9392.62,No,2019,102,546.83,Yes,2,Low,No
16845,Melissa Key,21,Female,Port Jennifer,Savings,44280.78,652,2024-09-04,3044.65,No,2021,270,658.38,No,0,Medium,Yes
28169,Thomas Wright,66,Female,Pettyside,Business,85106.64,815,2024-11-13,4706.26,No,2019,496,329.22,No,1,Low,Yes
15983,Renee White,74,Male,New Jason,Savings,58248.04,650,2024-10-07,8076.46,Yes,2000,271,654.09,Yes,1,Medium,No
64099,Christine Perry,30,Female,Reynoldsside,Business,94566.91,699,2024-05-07,6885.52,No,2010,332,65.05,Yes,0,Medium,No
33623,Teresa Andrade,18,Male,Hannahview,Business,77061.27,497,2024-03-26,6058.04,Yes,2002,68,458.56,Yes,1,High,Yes
64459,Eric Wu,73,Male,Lake Rodney,Current,27746.35,459,2024-05-22,3696.3,Yes,2007,428,649.69,No,2,High,No
50664,Brenda Flores,73,Female,South Misty,Savings,45096.71,625,2024-02-19,4187.19,No,2012,455,813.31,Yes,4,Low,Yes
83528,Amy Mitchell,64,Male,Port Joseburgh,Business,13240.91,844,2024-01-18,1242.33,Yes,2002,298,914.9,No,0,High,No
50424,Vickie Robinson,67,Female,Rogersstad,Savings,75895.3,726,2024-05-23,7856.0,No,2015,90,563.83,No,2,Medium,Yes
61631,Logan Buck MD,75,Other,Hannahshire,Fixed Deposit,21887.5,699,2024-07-29,7572.23,No,2022,447,849.23,No,3,Low,No
47836,Hunter Johnson,64,Male,Francesstad,Business,69896.04,519,2024-05-16,4453.12,No,2020,39,131.67,Yes,4,Low,Yes
65270,Michael Mccullough,37,Female,Hochester,Business,43559.55,423,2024-03-04,3976.12,No,2005,480,292.1,No,4,Low,Yes
49845,Richard Murphy,48,Male,South Jamesville,Savings,64197.08,591,2024-10-14,5225.81,Yes,2001,251,98.64,Yes,3,Low,No
43878,Rebecca Hopkins,33,Male,Everettfort,Business,5678.97,477,2024-03-09,2197.06,No,2020,23,528.61,Yes,3,Medium,Yes
69687,Donald Morgan,35,Male,Haleyberg,Fixed Deposit,32090.34,325,2024-01-29,3698.3,Yes,2009,312,276.15,No,1,Medium,No
21199,Breanna Barnett,23,Male,Adambury,Fixed Deposit,88324.94,642,2024-01-07,7117.2,No,2014,395,192.46,Yes,0,Low,Yes
15602,Debbie Nelson,38,Other,Port Ryanstad,Fixed Deposit,46853.67,471,2024-09-11,6166.21,Yes,2022,274,247.05,No,2,Low,No
98863,Allison Hill,24,Female,Johnsonchester,Fixed Deposit,88451.72,731,2024-04-18,8938.87,No,2021,465,718.99,No,4,Low,Yes
80768,Timothy Coleman,70,Female,Brianville,Current,40465.01,639,2024-06-19,2938.26,Yes,2008,240,163.32,No,0,High,Yes
89374,Ann Gonzalez,18,Male,Josephhaven,Fixed Deposit,7605.04,492,2024-03-13,8740.88,Yes,2020,413,386.09,No,2,High,Yes
74652,Alicia Lester,60,Male,Garciaside,Fixed Deposit,59001.12,699,2024-10-07,2666.61,Yes,2005,145,190.31,Yes,0,Low,No
85114,Jasmine Horne MD,64,Male,West Bethborough,Fixed Deposit,34287.99,621,2024-11-03,9388.8,No,2006,251,401.41,No,1,Low,No
36932,Shelby Stark,48,Male,East Michelle,Business,96121.6,554,2024-01-02,5008.75,No,2012,300,395.7,No,1,Low,Yes
25621,Tyler Davis,27,Female,Martinmouth,Current,41898.71,708,2024-04-04,4242.02,No,2016,273,808.51,No,3,Low,Yes
13784,Lisa Payne,71,Male,Websterside,Business,19220.69,735,2024-09-06,7194.11,No,2009,270,425.04,No,5,Low,No
72995,Maria Williams,65,Other,Manningshire,Business,42829.96,720,2024-10-30,6188.54,No,2013,172,98.38,Yes,5,Low,No
65516,William Hunter,23,Other,Lake Amy,Business,75737.33,749,2024-10-16,3702.98,No,2012,212,228.47,No,3,High,Yes
76423,Kelly Benitez,37,Other,East Desiree,Business,40337.27,300,2024-05-26,3189.31,Yes,2007,221,192.4,No,5,Medium,No
26874,Lisa Scott,43,Female,Lake Julia,Savings,18324.41,404,2024-07-14,2187.99,Yes,2006,440,494.0,Yes,1,High,No
87038,Tiffany Zamora PhD,67,Male,Port Adamchester,Current,25969.78,392,2024-02-10,6329.95,Yes,2014,218,337.25,No,0,High,Yes
62973,Joseph Beard,69,Female,New Chasetown,Savings,41953.93,743,2024-08-03,7077.94,Yes,2012,400,231.51,No,3,High,No
15511,Anita Hopkins,60,Male,Martinezmouth,Fixed Deposit,7638.04,420,2024-11-04,1258.69,Yes,2017,292,50.97,No,3,Low,Yes
64563,Brandon Edwards,20,Male,Thomasside,Business,72387.13,539,2024-11-18,6829.92,Yes,2021,213,945.51,Yes,0,High,Yes
62895,Jennifer Campos,20,Male,New Matthewburgh,Current,65322.8,495,2024-09-11,2184.75,Yes,2016,195,147.02,Yes,3,High,Yes
75485,Mathew King,35,Female,Lake Robertmouth,Business,22926.7,403,2024-04-25,9864.7,No,2018,390,654.46,Yes,2,Low,Yes
45861,Zachary Olson MD,50,Female,Oscarport,Business,28353.71,741,2024-04-19,6468.43,No,2022,203,434.98,No,5,High,No
64050,Jasmine Robinson,60,Male,Samanthafurt,Savings,32804.87,301,2024-06-09,5064.14,No,2013,418,723.19,Yes,1,Medium,Yes
15003,Jared Sullivan,52,Female,Martinmouth,Current,71733.6,397,2024-01-31,5509.41,No,2000,447,319.98,No,5,Medium,No
48797,William Knox,34,Other,Lewisside,Business,20124.45,788,2024-06-01,9578.0,No,2004,275,984.38,Yes,0,Low,No
21939,Keith Barnes,29,Female,West Sonyamouth,Savings,30009.87,719,2024-11-16,1175.0,Yes,2020,101,220.48,No,1,Medium,Yes
32589,Rachel Perez,68,Male,Natalieview,Savings,61140.74,603,2024-09-17,6078.31,Yes,2013,378,437.81,Yes,1,Medium,No
73621,Thomas Werner,55,Male,Bakertown,Savings,85005.41,608,2024-10-01,1299.38,Yes,2008,420,231.31,Yes,4,Medium,Yes
54660,Brooke Johnson,50,Other,South Elizabeth,Current,11607.52,710,2024-09-08,5079.92,No,2005,349,480.83,Yes,4,High,Yes
21507,Kimberly Mccormick,25,Other,Karltown,Business,47463.3,534,2024-10-30,2838.51,Yes,2016,497,992.63,Yes,2,Medium,No
24074,Anthony Day,31,Male,Wangburgh,Current,56595.5,739,2024-09-05,1916.92,No,2011,376,728.62,Yes,2,Medium,No
45753,Lynn Holland,33,Male,Howeview,Current,92416.13,388,2024-09-06,2014.9,No,2020,355,495.11,Yes,4,Low,No
16538,Katie Vaughan,40,Female,Anitamouth,Business,84040.01,489,2024-05-05,2665.84,No,2002,263,283.35,No,3,Medium,Yes
81630,Cathy Dodson,20,Male,Port Jacob,Savings,56251.46,823,2024-06-08,2675.1,Yes,2009,302,990.01,No,5,High,Yes
31964,Angela Dennis,60,Female,Lake Joshuafort,Business,31140.0,745,2024-08-09,9884.59,No,2007,115,178.04,Yes,2,High,No
95560,Jonathan Rodriguez,38,Other,Howardfurt,Fixed Deposit,24222.38,765,2024-05-19,3908.34,No,2005,12,803.49,Yes,5,High,Yes
80329,Michael Keith,61,Female,East Margaretchester,Savings,21659.48,431,2024-09-08,8324.13,Yes,2005,343,163.87,No,4,Medium,Yes
37995,Michael Sandoval,58,Other,South Ryan,Current,98992.48,593,2024-10-10,8501.24,Yes,2022,43,871.39,Yes,3,Medium,No
78718,Gregory Ryan,30,Male,Deannamouth,Fixed Deposit,62745.46,686,2024-09-19,4907.48,Yes,2011,165,282.97,No,2,High,No
64085,Todd Wagner,75,Male,Yatesbury,Fixed Deposit,32380.51,780,2024-09-22,3139.46,Yes,2009,71,822.88,Yes,2,High,Yes
84755,Julie Robinson,54,Male,Coxland,Business,4843.64,323,2024-06-18,9272.05,Yes,2006,259,612.59,No,1,Low,No
59047,Mr. Justin Freeman PhD,45,Female,Lake Crystal,Current,42246.07,799,2024-08-26,8084.19,Yes,2007,163,135.11,Yes,4,Medium,No
98590,Aaron Pacheco,63,Male,Christinestad,Current,2300.96,717,2024-04-01,5657.26,Yes,2011,347,508.71,Yes,4,High,No
39762,Allen Rios,46,Male,Port Kevinstad,Business,87057.31,490,2024-11-07,2113.68,Yes,2016,267,119.85,Yes,2,High,No
28182,David Farmer,52,Male,East Benjaminberg,Business,43078.86,515,2024-10-22,6803.4,No,2001,114,164.32,Yes,4,Medium,No
90432,Austin Pineda,60,Female,East Ryanmouth,Business,84135.06,469,2024-09-20,8743.83,Yes,2018,300,965.16,Yes,2,Medium,No
93117,Justin Mooney,67,Other,Holmesstad,Business,7276.75,762,2024-07-26,9455.08,Yes,2022,10,699.26,No,3,Medium,No
35802,Crystal Ramos,62,Other,New Danielleberg,Current,99761.21,756,2024-04-15,4728.07,No,2002,448,130.62,Yes,3,Medium,No
87109,Karen Buck,47,Female,Ruizbury,Savings,49849.57,358,2024-01-05,4491.73,No,2005,42,72.92,Yes,4,High,Yes
41823,Amanda Flores,25,Other,North Arthur,Current,37644.6,538,2024-02-19,5909.53,Yes,2009,243,790.2,No,3,Low,Yes
92427,Joshua Kelly,60,Female,Lake Jason,Business,7252.91,841,2024-01-18,9626.28,Yes,2018,151,464.49,No,4,Low,Yes
56969,Brandon Gonzales,60,Other,Gilmorebury,Business,13932.01,484,2024-02-02,7164.41,No,2009,94,283.43,Yes,4,Medium,Yes
35845,Robert Wilson,20,Other,Joshuaborough,Fixed Deposit,62689.16,337,2024-09-23,6839.95,No,2001,33,315.7,No,5,High,Yes
11487,Jerry Benson,52,Female,West Richardport,Current,10523.09,536,2024-02-13,8810.17,No,2006,348,983.58,No,5,Low,No
24334,David Ford,30,Female,Tylerland,Business,47679.8,681,2024-01-13,2134.3,No,2004,79,939.07,Yes,0,High,No
52986,Juan Steele,22,Female,Lake Zachary,Fixed Deposit,25097.56,829,2024-11-14,1407.76,No,2019,382,971.61,No,1,High,Yes
88855,Erika Williams,45,Male,New Carlborough,Savings,80123.74,614,2024-06-28,3992.77,Yes,2016,28,239.08,No,5,High,Yes
67653,Antonio Mckenzie,18,Other,South Ashleyfurt,Current,72734.52,430,2024-05-17,6403.04,No,2000,147,934.75,No,4,Low,No
35308,Jared Jones,20,Male,West Connie,Fixed Deposit,81665.68,414,2024-05-22,4156.05,No,2009,189,830.21,No,4,Low,No
20919,Laura Anderson,31,Male,Billymouth,Savings,8059.8,810,2024-07-28,6891.89,Yes,2007,377,497.49,Yes,2,High,No
47007,Bethany Houston,36,Male,North Nathanhaven,Savings,58622.2,711,2024-02-22,4481.09,No,2011,356,676.51,No,3,Medium,No
47296,Alexis Mcclain,36,Male,Kelseyhaven,Fixed Deposit,95058.29,670,2024-10-01,5895.02,No,2017,115,630.98,Yes,5,Low,Yes
81437,Valerie Roberts,56,Female,Jameshaven,Fixed Deposit,14930.83,608,2024-01-24,6753.8,Yes,2003,62,269.04,Yes,0,High,Yes
21798,Mikayla Alvarado,41,Female,Dannyhaven,Fixed Deposit,56617.74,525,2024-03-31,9371.07,Yes,2012,348,42.14,No,0,High,Yes
42315,Jonathan Allen,48,Other,Joytown,Fixed Deposit,99745.64,529,2024-11-21,9683.6,Yes,2013,391,313.39,No,5,Low,Yes
99133,Janet Wilson,32,Other,Mullenmouth,Fixed Deposit,25682.16,589,2024-04-21,6047.41,Yes,2008,88,586.83,Yes,1,High,Yes
87791,Taylor Lang,49,Male,South Kyleport,Business,76648.71,654,2024-01-19,4129.71,Yes,2022,234,356.17,Yes,2,High,No
79621,Molly Ramos,56,Female,Whitestad,Fixed Deposit,48816.61,679,2024-08-31,9274.34,No,2006,262,546.7,Yes,3,Medium,No
81708,Shannon Mcdowell,41,Female,Lake Benjamin,Savings,59707.85,786,2024-04-15,1819.16,Yes,2007,152,356.24,Yes,1,Low,No
25036,Carlos Rocha,74,Male,Davisside,Savings,34100.83,810,2024-01-16,7643.42,Yes,2006,68,845.5,No,2,Medium,Yes
35839,Andrea Williams,20,Female,Christopherside,Savings,89266.99,644,2024-01-30,7821.3,No,2013,210,86.06,No,3,Low,Yes
31117,James Barnes,75,Male,Catherineshire,Savings,92770.44,318,2024-04-09,3213.9,Yes,2002,130,998.23,No,0,High,Yes
42727,Sheryl Day,67,Male,Samanthaburgh,Savings,14938.28,345,2024-05-03,5031.75,Yes,2002,403,852.08,No,2,High,Yes
66661,Zachary Oliver,27,Female,West Jacobtown,Savings,51800.14,732,2024-05-10,9078.37,No,2011,92,575.8,Yes,4,Low,Yes
83308,Ruben Cherry,45,Other,Boylechester,Savings,46180.69,775,2024-01-13,1413.91,Yes,2012,294,346.22,No,2,Medium,Yes
60096,James Green,32,Male,Johnsonfort,Business,54282.51,460,2024-02-19,9319.05,No,2019,243,346.52,Yes,1,High,No
40368,Cassidy King,40,Male,South Tannerburgh,Business,34695.36,304,2024-09-15,4653.97,No,2001,262,605.79,Yes,2,High,No
48118,Alexander Randall,70,Female,Pearsonstad,Fixed Deposit,27724.93,757,2024-06-15,2266.59,No,2021,42,453.61,Yes,1,Low,No
44634,Matthew Marks,66,Other,Port Monicamouth,Fixed Deposit,91753.59,701,2024-01-27,3587.94,Yes,2001,271,694.88,No,3,Medium,No
15770,Michael Goodman,48,Female,Phillipstown,Current,17555.84,583,2024-08-31,7173.38,No,2019,28,229.05,Yes,2,Medium,Yes
46791,Christopher Nunez,26,Male,South Nicholas,Current,64525.96,481,2024-07-06,6222.22,No,2006,154,894.09,No,4,High,No
25062,Jennifer Harvey,58,Other,West Jacob,Business,59193.86,332,2024-04-30,9995.98,Yes,2009,271,887.62,Yes,1,Medium,No
70721,Vincent Pham,33,Other,North Jimport,Business,50115.48,347,2024-08-13,3305.56,Yes,2014,169,525.46,Yes,0,Medium,Yes
89271,Sandra Morris,70,Female,Jenkinsfort,Savings,41219.24,474,2024-02-10,3693.26,Yes,2008,166,35.83,No,5,Medium,No
29972,Felicia Williams,53,Male,Ericfort,Business,83823.65,425,2024-05-11,2273.97,Yes,2004,345,884.26,Yes,5,Medium,No
25120,James Coleman,31,Male,Lake Alexandraburgh,Savings,68336.55,613,2024-11-21,5721.12,No,2012,49,944.45,No,1,Medium,Yes
31050,Samuel Martinez,64,Female,Jordanberg,Savings,8891.05,682,2024-03-04,2602.08,Yes,2010,40,483.71,Yes,1,Medium,Yes
82022,Christopher Rodriguez,22,Male,Johnsonton,Business,56595.35,620,2024-01-28,5314.0,No,2019,406,410.98,No,2,Low,Yes
22757,Shannon Rodriguez,64,Male,Marcustown,Business,61650.67,530,2024-11-05,6696.29,No,2002,25,592.63,Yes,5,Medium,Yes
34821,Jennifer Gallegos,26,Male,East Jillianberg,Business,94020.53,603,2024-10-17,9037.47,Yes,2018,442,730.8,Yes,1,High,Yes
19722,Martin Anderson,54,Male,South Brandon,Fixed Deposit,83014.91,474,2024-03-17,6634.18,Yes,2003,136,738.68,No,1,High,No
67988,Audrey Stein,59,Other,West Marychester,Business,39030.07,380,2024-07-02,3941.58,Yes,2021,396,441.03,Yes,5,Low,Yes
76605,Laura Rios,26,Male,Jenniferburgh,Current,16178.58,768,2024-02-02,3436.75,Yes,2002,192,125.46,No,2,High,No
91064,Matthew Rice,47,Female,Hatfieldmouth,Savings,54449.03,713,2024-05-27,7123.52,Yes,2007,89,560.5,No,1,Medium,No
21784,Catherine Welch,74,Male,West David,Business,89267.67,753,2024-05-29,4436.08,No,2021,104,607.0,Yes,0,High,Yes
26868,Stephen Castillo,26,Other,Joshuahaven,Savings,41871.66,538,2024-03-06,6048.21,No,2020,360,207.17,No,2,High,Yes
81534,Calvin Lucas,53,Male,Andersonstad,Business,54514.63,527,2024-06-22,6654.56,No,2023,368,938.95,Yes,5,Medium,Yes
